Exotica,105,1997,8.65,Drama,Drama,Drama
Along Came a Spider,109,1992,9.5,Action|Crime|Mystery|Thriller,Comedy|Documentary,Action|Drama
Butterfly Kiss,129,2006,5.55,Drama|Thriller,Drama,Drama|War
Our Relations,143,2003,1.69,Comedy,Action|Animation,Crime|Horror|Mystery|Thriller
Moving Midway,114,1990,9.02,Documentary,Drama|Romance|Thriller,Adventure|Comedy|War
Taxidermia,136,2013,7.32,Comedy|Drama|Horror,Documentary,Comedy
Genealogies of a Crime (Généalogies d'un crime),136,2009,5.36,Crime|Drama,Romance,Action|Adventure|Crime|Drama
Brainstorm,135,2007,6.84,Drama|Film-Noir|Thriller,Comedy,Comedy|Documentary
Man-Proof,113,1998,7.64,Comedy|Drama|Romance,Drama|Horror|Sci-Fi,Comedy|Romance
Paraíso Travel,129,1993,1.89,Adventure|Drama|Romance,Horror|Thriller,Comedy|Drama|Romance
Clown,119,2011,9.67,Drama|Horror,Adventure,Comedy
Berlin Is in Germany,111,2014,5.07,Drama,Drama|War,Drama
Detention,136,2002,8.2,Comedy|Horror,Crime|Drama|Film-Noir|Mystery|Thriller,Documentary
Egyptian The,130,2001,6.08,Drama,Drama,Drama|War
Rough Night in Jericho,138,1999,5.61,Western,Comedy|Drama|Romance,Comedy|Drama
Parineeta,127,2014,4.1,Drama|Musical|Romance,Drama,Drama|Romance
Limit (Limite),135,2004,4.73,Drama,Action|Adventure|Comedy|Fantasy,Comedy|Drama
Duchess The,113,2013,3.93,Drama|Romance,Crime|Drama,Drama|War
Rapa Nui,147,2005,6.46,Action|Adventure|Drama|Romance,Documentary,Action|Drama|Romance|Western
Let it Come Down: The Life of Paul Bowles,150,2008,1.71,Documentary,Comedy|Fantasy|Mystery,Comedy
27 Missing Kisses,143,2007,1.12,Comedy|Drama|Romance,Documentary,Drama
Lemony Snicket's A Series of Unfortunate Events,143,2008,3.12,Adventure|Children|Comedy|Fantasy,Documentary,Action|Adventure
Secret Ballot (Raye makhfi),139,2013,4.13,Comedy,Documentary,Action|War|Western
Roberta,119,2012,2.6,Comedy|Musical|Romance,Drama,Thriller
Good the Bad the Weird The (Joheunnom nabbeunnom isanghannom),129,2009,1.12,Action|Adventure|Comedy|Western,Adventure|Comedy|Musical,Comedy|Crime
Torrente 3: El protector,148,1994,6.55,Comedy|Crime,Drama,Horror|Thriller
The Beast of the City,125,2005,2.72,Crime|Drama|Film-Noir|Romance,Drama|Horror|Sci-Fi|War,Thriller
Sleepwalk with Me,148,1994,6.0,Comedy|Drama,Action|Adventure|Fantasy,Drama
Kissing Jessica Stein,113,2008,8.43,Comedy|Romance,Animation,Romance|Sci-Fi
Russia's Toughest Prisons (National Geographic),116,2020,3.62,Documentary,Crime|Drama,Adventure|Western
Love Stinks,127,1996,4.23,Comedy,Thriller,Horror|Sci-Fi
Must Have Been Love,142,2002,8.37,Drama|Romance,Action|Comedy,Drama|Horror
Suck,132,1995,5.51,Comedy|Horror|Musical,Adventure|Fantasy|Mystery|Thriller,Comedy|Crime|Drama|Thriller
Romeo and Juliet,110,2012,2.21,Drama|Romance,Adventure|War,Comedy|Horror
Melvin and Howard,103,1996,1.4,Drama,Adventure|Animation|Children,Action|Comedy|Horror
Reno 911!: Miami,108,2020,3.03,Comedy,Action|Comedy,Adventure|Drama
Cosmos,136,2004,7.48,Documentary,Action|Comedy|Crime,Mystery|Thriller
Anderson Tapes The,125,2004,1.55,Crime|Drama|Thriller,Drama,Comedy
Way I Spent the End of the World The (Cum mi-am petrecut sfarsitul lumii),141,2019,3.81,Drama,Comedy|Drama,Drama
Tank Girl,120,2003,2.96,Action|Comedy|Sci-Fi,Drama,Adventure|Animation|Drama
Girl in the Red Velvet Swing The,104,2015,4.88,Crime|Drama|Romance,Comedy|Horror,Drama
Trash,136,1992,1.32,Drama,Western,Comedy
It Conquered the World,123,1991,7.61,Sci-Fi,Adventure|Drama,Comedy|Drama
Tramp The (Awaara) (Awara),138,2011,8.24,Drama|Musical|Romance,Comedy|Drama|Romance,Comedy
Minuscule: Valley of the Lost Ants (Minuscule - La vallée des fourmis perdues),149,2013,9.92,Adventure|Animation|Children,Drama|Thriller,Comedy|War
Mummy Returns The,124,2006,1.91,Action|Adventure|Comedy|Thriller,Comedy|Musical,Documentary|Musical
French Cancan,112,2001,8.11,Comedy|Drama|Musical|Romance,Comedy|Drama,Documentary
Queen of Blood,109,2020,3.36,Horror|Sci-Fi,Comedy,Comedy|Western
Ranma ½: Nihao My Concubine (Ranma ½: Kessen Tôgenkyô! Hanayome o torimodose!!),109,2011,3.3,Action|Adventure|Comedy|Fantasy|Romance,Drama,Drama
Crisis,103,2004,6.9,Drama|Thriller,Drama|Romance,Action|Adventure|Animation
Monkey Business,145,1993,3.52,Comedy,Drama|Mystery|Thriller,Drama
Charge of the Light Brigade The,123,2006,9.91,Action|Adventure|Romance|War,Action|Thriller,Drama
Ernest Goes to Jail,129,2012,9.34,Comedy,Children|Documentary,Drama|Western
George of the Jungle,117,2006,1.32,Children|Comedy,Documentary,Comedy
Mad Love (Juana la Loca),143,1990,4.98,Drama,Drama,Documentary
The Halloween That Almost Wasn't,126,1991,4.04,Children|Comedy,Documentary,(no genres listed)
Sex and the City,147,2017,9.71,Comedy|Romance,Comedy|Drama|Romance,Comedy
American Addict,141,1990,6.42,Documentary,Adventure|Children|Fantasy,Drama|Fantasy|Mystery|Romance
Cradle Will Rock,147,2014,1.75,Drama,Adventure|Comedy|Romance|War,Children|Drama
Imaginary Witness: Hollywood and the Holocaust ,104,2009,7.16,Documentary,Comedy,Children|Documentary
Light the Fuse... Sartana Is Coming,134,2003,2.96,Western,Comedy|Drama|Fantasy,Horror|Thriller
Gorgeous (Boh lee chun),137,2020,1.6,Action|Comedy|Romance,Comedy|Drama,Documentary
XXY,139,2012,6.89,Drama,Crime|Drama,Drama
The Humanoid,131,2004,2.01,Fantasy|Sci-Fi,Crime|Horror,Crime|Drama|Thriller
White Men Can't Jump,147,1992,6.92,Comedy|Drama,Documentary,Drama|Horror|Sci-Fi
Anna Lucasta,110,1998,7.4,Drama,Action|Animation,Comedy|Drama|Romance
Morning Glory,139,2007,4.79,Drama|Romance,Documentary,Comedy|Drama
Young Lions The,103,1997,7.16,Drama|War,Western,Comedy|Drama
Dances Sacred and Profane,147,2018,9.03,Documentary,Drama|Romance,Comedy|Drama|Romance
Sorrow and the Pity The (Le chagrin et la pitié),117,2015,6.94,Documentary|War,Documentary,Drama
Hide in Plain Sight,118,1997,6.35,Drama,Drama|Horror|Thriller,Action|Drama|War
For Love and Gold (L'armata Brancaleone),143,1996,5.75,Adventure|Comedy,Comedy|Drama|Romance,Thriller|Western
Liz & Dick ,145,2017,5.9,Drama,Action|Adventure|Animation|Sci-Fi,Comedy|Romance
Flaying The (El Bosque de los Sometidos),129,1990,1.87,Fantasy|Horror|Thriller,Comedy|Western,Sci-Fi|Thriller
In Their Skin,103,2020,2.22,Horror|Thriller,Drama,Drama
King Ralph,129,1997,1.84,Comedy,Drama,Mystery|Thriller
Involuntary (De ofrivilliga),120,2008,5.63,Drama,Comedy,Drama|Romance
Telephone The,108,2000,9.81,Comedy,Action|Drama,Drama
Stardust,138,1998,2.38,Drama,Crime|Drama,Action|Adventure|Drama|War
Gridlock'd,102,1999,6.33,Crime,Comedy,Documentary
Curb Dance,134,1990,5.03,(no genres listed),Crime|Drama|Thriller,Drama
Body of War,108,1990,1.34,Documentary|War,Animation|Children|Comedy|Musical|Sci-Fi,Drama
Raanjhanaa,145,2017,6.48,Drama|Romance,(no genres listed),Crime
Father of My Children The (Le père de mes enfants),132,2005,3.79,Drama,Action|Adventure|Drama|Romance,Comedy|Horror
Hollywood Shuffle,114,2017,9.79,Comedy,Drama|Fantasy|Sci-Fi,Comedy
Zincirbozan,145,2003,1.17,Crime|Drama,Action|Adventure|Comedy|Fantasy,Documentary
Happiness Is a Warm Blanket Charlie Brown,122,2018,7.32,Animation|Comedy,Comedy,Comedy|Drama|Musical
Vermin,135,1992,2.91,Comedy,Action|Comedy,Children|Comedy
Grace,136,2016,9.35,Horror|Thriller,Action|Adventure,Documentary
